time,x,y,z
0.016,-0.01,-0.00,1.01
0.016,-0.01,0.00,1.01
0.017,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.018,-0.01,0.00,1.01
0.018,-0.01,0.00,1.01
0.018,-0.01,0.00,1.01
0.019,-0.01,0.00,1.01
0.019,-0.01,0.00,1.01
0.027,-0.01,0.00,1.01
0.028,-0.01,0.00,1.01
0.028,-0.01,0.00,1.01
0.028,-0.01,0.00,1.01
0.028,-0.01,0.00,1.01
0.029,-0.01,0.00,1.01
0.032,-0.01,0.00,1.01
0.033,-0.01,0.00,1.01
0.034,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.050,-0.01,0.00,1.01
0.050,-0.01,0.00,1.01
0.052,-0.01,0.00,1.01
0.057,-0.01,0.00,1.01
0.058,-0.01,0.00,1.01
0.058,-0.01,0.00,1.01
0.060,-0.01,0.00,1.01
0.062,-0.01,0.00,1.01
0.065,-0.01,0.00,1.01
0.067,-0.01,0.00,1.00
0.068,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.072,-0.01,0.00,1.00
0.076,-0.01,0.00,1.00
0.076,-0.01,0.00,1.00
0.079,-0.01,0.00,1.00
0.082,-0.01,0.00,1.00
0.082,-0.01,0.00,1.00
0.085,-0.01,0.00,1.01
0.086,-0.01,0.00,1.01
0.088,-0.01,0.00,1.01
0.090,-0.01,0.00,1.01
0.093,-0.01,0.00,1.01
0.094,-0.01,0.00,1.01
0.101,-0.01,0.00,1.01
0.101,-0.01,0.00,1.01
0.101,-0.01,0.00,1.01
0.102,-0.01,0.00,1.01
0.109,-0.01,0.00,1.01
0.109,-0.01,0.00,1.01
0.109,-0.01,0.00,1.01
0.124,-0.01,0.00,1.01
0.124,-0.01,0.00,1.01
0.125,-0.01,0.00,1.01
