Auto,Run #1,Auto,Run #2,Auto,Run #3
Time (s),Angular Velocity (rad/s),Time (s),Angular Velocity (rad/s),Time (s),Angular Velocity (rad/s)
0.025,0,0.025,0,0.025,0
0.05,0,0.05,0.233,0.05,0
0.075,-0.116,0.075,0.233,0.075,0
0.1,-0.233,0.1,0.116,0.1,0
0.125,-0.233,0.125,0,0.125,0
0.15,-0.116,0.15,0,0.15,0
0.175,0,0.175,0,0.175,0
0.2,-0.116,0.2,0,0.2,0
0.225,-0.233,0.225,0,0.225,0
0.25,-0.233,0.25,0,0.25,0
0.275,-0.116,0.275,0,0.275,0
0.3,0,0.3,0,0.3,0
0.325,-0.116,0.325,0,0.325,0
0.35,-0.233,0.35,0,0.35,0
0.375,-0.233,0.375,0,0.375,0
0.4,-0.116,0.4,0,0.4,0
0.425,0,0.425,0,0.425,0
0.45,0,0.45,0,0.45,0
0.475,0,0.475,0,0.475,0
0.5,0,0.5,0,0.5,0
0.525,0,0.525,0,0.525,0.116
0.55,0,0.55,0,0.55,0.233
0.575,0,0.575,0,0.575,0.233
0.6,0,0.6,0,0.6,0.116
0.625,0,0.625,0,0.625,0
0.65,0,0.65,0,0.65,0
0.675,0,0.675,0,0.675,0
0.7,0,0.7,0,0.7,0
0.725,0,0.725,-0.116,0.725,0
0.75,0,0.75,-0.233,0.75,0
0.775,0,0.775,-0.233,0.775,0
0.8,0,0.8,-0.116,0.8,0
0.825,0,0.825,0,0.825,0
0.85,0,0.85,0,0.85,0
0.875,0.116,0.875,0,0.875,0
0.9,0.233,0.9,0,0.9,0
0.925,0.233,0.925,0,0.925,0
0.95,0.116,0.95,0,0.95,0
0.975,0,0.975,0,0.975,0
1,0,1,0,1,0
1.025,0,1.025,0,1.025,0
1.05,0,1.05,0,1.05,0
1.075,0,1.075,0,1.075,-0.116
1.1,0,1.1,0.116,1.1,-0.233
1.125,0,1.125,0.233,1.125,-0.233
1.15,0,1.15,0.233,1.15,-0.116
1.175,0,1.175,0.116,1.175,0
1.2,0,1.2,0,1.2,0
1.225,0,1.225,0,1.225,0
1.25,0,1.25,0,1.25,0
1.275,0,1.275,0,1.275,0
1.3,0,1.3,0,1.3,0
