Auto,Run #3
Time (s),Angular Velocity (rad/s)
0.025,0
0.05,0
0.075,0
0.1,0
0.125,0
0.15,0
0.175,0
0.2,0
0.225,0
0.25,0
0.275,0
0.3,0
0.325,0
0.35,0
0.375,0
0.4,0
0.425,0
0.45,0
0.475,0
0.5,0
0.525,0.116
0.55,0.233
0.575,0.233
0.6,0.116
0.625,0
0.65,0
0.675,0
0.7,0
0.725,0
0.75,0
0.775,0
0.8,0
0.825,0
0.85,0
0.875,0
0.9,0
0.925,0
0.95,0
0.975,0
1,0
1.025,0
1.05,0
1.075,-0.116
1.1,-0.233
1.125,-0.233
1.15,-0.116
1.175,0
1.2,0
1.225,0
1.25,0
1.275,0
1.3,0
1.325,0
1.35,0
1.375,0
1.4,0
1.425,0
1.45,0
1.475,0
1.5,0
1.525,0
1.55,0
1.575,0
1.6,0
1.625,0
1.65,0
1.675,0
1.7,-0.116
1.725,-0.233
1.75,-0.349
1.775,-0.465
1.8,-0.582
1.825,-0.582
1.85,-0.582
1.875,-0.698
1.9,-0.931
1.925,-1.28
1.95,-1.629
1.975,-2.211
2,-2.793
2.025,-3.258
2.05,-3.374
2.075,-3.258
2.1,-3.025
2.125,-2.676
2.15,-2.211
2.175,-1.629
2.2,-1.047
2.225,-0.233
2.25,0.582
2.275,1.28
2.3,1.862
2.325,2.327
2.35,2.676
2.375,2.676
2.4,2.443
2.425,2.094
2.45,1.629
2.475,1.164
2.5,0.698
2.525,0.349
2.55,0.116
2.575,0
2.6,-0.116
2.625,-0.233
2.65,-0.349
2.675,-0.349
2.7,-0.233
2.725,-0.116
2.75,0
2.775,0
2.8,-0.116
2.825,-0.233
2.85,-0.233
2.875,0
2.9,0.233
2.925,0.233
2.95,0.116
2.975,0
3,0
3.025,0
3.05,0
3.075,0
3.1,0
3.125,0
3.15,0
3.175,0
3.2,0
3.225,-0.233
3.25,-0.582
3.275,-1.047
3.3,-1.513
3.325,-1.978
3.35,-2.443
3.375,-2.676
3.4,-2.909
3.425,-3.258
3.45,-3.723
3.475,-4.072
3.5,-4.305
3.525,-4.654
3.55,-5.003
3.575,-5.352
3.6,-5.701
3.625,-6.05
3.65,-6.4
3.675,-6.632
3.7,-6.865
3.725,-7.098
3.75,-7.33
3.775,-7.447
3.8,-7.447
3.825,-7.563
3.85,-7.796
3.875,-8.029
3.9,-8.145
3.925,-8.378
3.95,-8.61
3.975,-8.727
4,-8.727
4.025,-8.61
4.05,-8.378
4.075,-8.145
4.1,-8.145
4.125,-8.261
4.15,-8.378
4.175,-8.494
4.2,-8.61
4.225,-8.727
4.25,-8.727
4.275,-8.727
4.3,-8.843
4.325,-8.843
4.35,-8.843
4.375,-8.843
4.4,-8.843
4.425,-8.843
4.45,-8.959
4.475,-9.192
4.5,-9.425
4.525,-9.541
4.55,-9.657
4.575,-9.89
4.6,-10.007
4.625,-10.123
4.65,-10.123
4.675,-10.239
4.7,-10.472
4.725,-10.588
4.75,-10.705
4.775,-10.821
4.8,-10.937
4.825,-10.937
4.85,-11.054
4.875,-11.286
4.9,-11.403
4.925,-11.403
4.95,-11.403
4.975,-11.403
5,-11.403
5.025,-11.403
5.05,-11.519
5.075,-11.519
5.1,-11.519
5.125,-11.636
5.15,-11.636
5.175,-11.636
5.2,-11.636
5.225,-11.752
5.25,-11.752
5.275,-11.636
5.3,-11.636
5.325,-11.752
5.35,-11.868
5.375,-11.985
5.4,-12.101
5.425,-12.334
5.45,-12.566
5.475,-12.799
5.5,-13.032
5.525,-13.148
5.55,-13.381
5.575,-13.614
5.6,-13.846
5.625,-13.963
5.65,-13.963
5.675,-14.079
5.7,-14.312
5.725,-14.544
5.75,-14.777
5.775,-15.01
5.8,-15.243
5.825,-15.359
5.85,-15.475
5.875,-15.708
5.9,-15.941
5.925,-15.941
5.95,-15.824
5.975,-15.824
6,-15.824
6.025,-15.824
6.05,-15.824
6.075,-15.941
6.1,-16.057
6.125,-16.173
6.15,-16.29
6.175,-16.406
6.2,-16.522
6.225,-16.522
6.25,-16.639
6.275,-16.755
6.3,-16.988
6.325,-17.221
6.35,-17.337
6.375,-17.453
6.4,-17.57
6.425,-17.686
6.45,-17.802
6.475,-17.919
6.5,-18.035
6.525,-18.151
6.55,-18.268
6.575,-18.384
6.6,-18.5
6.625,-18.5
6.65,-18.384
6.675,-18.268
6.7,-18.151
6.725,-18.268
6.75,-18.384
6.775,-18.5
6.8,-18.617
6.825,-18.733
6.85,-18.733
6.875,-18.617
6.9,-18.617
6.925,-18.733
6.95,-18.85
6.975,-18.733
7,-18.617
7.025,-18.733
