Auto,Run #1
Time (s),Angular Velocity (rad/s)
0.025,0
0.05,0
0.075,-0.116
0.1,-0.233
0.125,-0.233
0.15,-0.116
0.175,0
0.2,-0.116
0.225,-0.233
0.25,-0.233
0.275,-0.116
0.3,0
0.325,-0.116
0.35,-0.233
0.375,-0.233
0.4,-0.116
0.425,0
0.45,0
0.475,0
0.5,0
0.525,0
0.55,0
0.575,0
0.6,0
0.625,0
0.65,0
0.675,0
0.7,0
0.725,0
0.75,0
0.775,0
0.8,0
0.825,0
0.85,0
0.875,0.116
0.9,0.233
0.925,0.233
0.95,0.116
0.975,0
1,0
1.025,0
1.05,0
1.075,0
1.1,0
1.125,0
1.15,0
1.175,0
1.2,0
1.225,0
1.25,0
1.275,0
1.3,0
1.325,0
1.35,0
1.375,0
1.4,0
1.425,0
1.45,0
1.475,0
1.5,-0.116
1.525,-0.233
1.55,-0.233
1.575,-0.116
1.6,0
1.625,0
1.65,0
1.675,0
1.7,0
1.725,0
1.75,0
1.775,0
1.8,0
1.825,0
1.85,0
1.875,0
1.9,0
1.925,0
1.95,0
1.975,0
2,0
2.025,0
2.05,0.116
2.075,0.233
2.1,0.233
2.125,0.116
2.15,0
2.175,0
2.2,0
2.225,0
2.25,0
2.275,0
2.3,0
2.325,0
2.35,0
2.375,0
2.4,0
2.425,0
2.45,0
2.475,0
2.5,0
2.525,0
2.55,0
2.575,0
2.6,0
2.625,0
2.65,-0.116
2.675,-0.233
2.7,-0.233
2.725,-0.116
2.75,0
2.775,0
2.8,0
2.825,0
2.85,0
2.875,0
2.9,0
2.925,0
2.95,0
2.975,0
3,0
3.025,0
3.05,0.116
3.075,0.233
3.1,0.233
3.125,0.233
3.15,0.233
3.175,0.349
3.2,0.465
3.225,0.582
3.25,0.814
3.275,0.931
3.3,1.164
3.325,1.396
3.35,1.513
3.375,1.629
3.4,1.629
3.425,1.745
3.45,1.745
3.475,1.629
3.5,1.629
3.525,1.629
3.55,1.629
3.575,1.396
3.6,1.164
3.625,1.164
3.65,1.28
3.675,1.28
3.7,1.164
3.725,1.047
3.75,1.047
3.775,1.047
3.8,0.931
3.825,0.814
3.85,0.698
3.875,0.698
3.9,0.698
3.925,0.698
3.95,0.698
3.975,0.582
4,0.465
4.025,0.465
4.05,0.465
4.075,0.465
4.1,0.465
4.125,0.465
4.15,0.465
4.175,0.349
4.2,0.349
4.225,0.349
4.25,0.233
4.275,0.233
4.3,0.233
4.325,0.349
4.35,0.349
4.375,0.233
4.4,0.233
4.425,0.233
4.45,0.233
4.475,0.116
4.5,0
4.525,0
4.55,0
4.575,0
4.6,0
4.625,0
4.65,0
4.675,0
4.7,0
4.725,0
4.75,0
4.775,-0.116
4.8,-0.233
4.825,-0.233
4.85,-0.116
4.875,-0.116
4.9,-0.233
4.925,-0.233
4.95,-0.233
4.975,-0.233
5,-0.349
5.025,-0.465
5.05,-0.465
5.075,-0.465
5.1,-0.465
5.125,-0.465
5.15,-0.465
5.175,-0.349
5.2,-0.349
5.225,-0.349
5.25,-0.233
5.275,-0.233
5.3,-0.233
5.325,-0.233
5.35,-0.233
5.375,-0.233
5.4,-0.233
5.425,-0.116
5.45,0
5.475,0
5.5,-0.116
5.525,-0.233
5.55,-0.233
5.575,-0.116
5.6,0
5.625,0
5.65,0
5.675,0
5.7,0.116
5.725,0.233
5.75,0.233
5.775,0.116
5.8,0
5.825,0
5.85,0
5.875,0.116
5.9,0.233
5.925,0.233
5.95,0.116
5.975,0
6,0.116
6.025,0.233
6.05,0.233
6.075,0.116
6.1,0
6.125,0
6.15,0
6.175,0
6.2,0
6.225,0
6.25,0
6.275,0
6.3,0
6.325,0
6.35,0
6.375,0
6.4,0
6.425,0
6.45,-0.116
6.475,-0.233
6.5,-0.233
6.525,-0.116
6.55,0
6.575,0
6.6,0
6.625,0
6.65,-0.116
6.675,-0.233
6.7,-0.233
6.725,-0.116
6.75,0
6.775,0
6.8,0
6.825,0
6.85,0
6.875,0
6.9,0
6.925,0
6.95,0
6.975,0
7,0.116
7.025,0.233
7.05,0.233
7.075,0.116
7.1,0
7.125,0
7.15,0
7.175,0
7.2,0
7.225,0.116
7.25,0.233
7.275,0.233
7.3,0.116
7.325,0
7.35,0
7.375,0
7.4,0
7.425,0
7.45,0
7.475,0
7.5,0
7.525,0
7.55,0
7.575,0
7.6,-0.116
7.625,-0.233
7.65,-0.233
7.675,-0.116
7.7,0
7.725,0
7.75,0
7.775,0
7.8,0
7.825,0
7.85,0
7.875,0
7.9,-0.116
7.925,-0.233
7.95,-0.233
7.975,-0.116
8,0
