;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-02-11, 22:52:19.739
;Temperature, -999.00, deg C,  Vbat, 4144, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.403290,1439,1589,-13638
0.418915,1285,1646,-13458
0.434540,1167,1517,-13294
0.450165,1103,1449,-13024
0.465790,1121,1492,-13058
0.481415,1165,1524,-13635
0.497040,1276,1576,-13799
0.528290,1224,1553,-13465
0.543915,1012,1505,-13081
0.559540,1035,1505,-12920
0.575165,1040,1519,-13320
0.590790,974,1569,-13722
0.606415,1096,1556,-13642
0.622040,1108,1471,-13304
0.637665,1039,1494,-12953
0.653290,1017,1555,-13103
0.668915,992,1562,-13583
0.684540,976,1639,-13658
0.700165,908,1676,-13504
0.715790,915,1551,-13254
0.731415,1040,1451,-13031
0.747040,1035,1506,-13244
0.762665,983,1565,-13460
0.778290,1001,1615,-13494
0.793915,932,1676,-13511
0.809540,930,1603,-13367
0.825165,1015,1558,-13290
0.840790,1051,1546,-13297
0.856415,1073,1523,-13219
0.872040,1030,1621,-13295
0.887665,989,1671,-13447
0.903290,987,1667,-13474
0.918915,1040,1605,-13501
0.934540,1124,1503,-13397
0.950165,1110,1514,-13199
0.965790,1046,1533,-13213
0.981415,999,1580,-13313
0.997040,1055,1585,-13410
1.012665,1178,1530,-13463
1.028290,1207,1531,-13433
1.043915,1194,1496,-13428
1.059540,1158,1462,-13351
1.075165,1096,1446,-13238
1.090790,1105,1440,-13210
1.106415,1182,1419,-13215
1.122040,1248,1369,-13338
1.137665,1280,1392,-13597
1.153412,1219,1446,-13576
1.169037,1144,1356,-13249
1.184662,1155,1251,-13067
1.200287,1157,1249,-13119
1.215912,1194,1235,-13353
1.231537,1258,1240,-13570
1.247162,1294,1203,-13531
1.262787,1271,1158,-13279
1.278412,1203,1132,-13122
1.294037,1205,1065,-13244
1.309662,1248,1040,-13372
1.325287,1207,1092,-13335
1.340912,1167,1058,-13413
1.356537,1262,910,-13386
1.372162,1244,928,-13099
1.387787,1198,907,-13219
1.403412,1210,837,-13403
1.419037,1110,933,-13260
1.434662,1115,889,-13356
1.450287,1185,749,-13345
1.465912,1160,749,-13133
1.481537,1155,714,-13278
1.497162,1149,669,-13333
1.512787,1082,742,-13206
1.528412,1051,712,-13345
1.544037,1044,637,-13367
1.559662,1067,564,-13238
1.575287,1060,512,-13213
1.590912,985,532,-13220
1.606537,1012,480,-13292
1.622162,982,503,-13267
1.637787,951,512,-13308
1.653412,958,441,-13385
1.669037,880,453,-13219
1.684662,921,367,-13195
1.700287,940,287,-13253
1.715912,857,346,-13156
1.731537,833,348,-13256
1.747162,830,330,-13370
1.762787,812,339,-13278
1.778412,798,269,-13249
1.794037,728,214,-13201
1.809662,683,230,-13144
1.825287,673,233,-13240
1.840912,667,228,-13236
1.856537,714,232,-13236
1.872162,655,199,-13335
1.887787,621,182,-13211
1.903412,642,185,-13204
1.919037,560,137,-13290
1.934662,528,137,-13090
1.950287,532,167,-13181
1.965912,499,153,-13399
1.981537,519,183,-13249
1.997162,524,149,-13235
2.012787,439,126,-13197
2.028412,376,183,-13047
2.044037,349,135,-13194
2.059662,391,110,-13281
2.075287,444,137,-13276
2.090912,351,123,-13265
2.106537,358,108,-13115
2.122162,382,119,-13199
2.137787,298,155,-13297
2.153290,344,121,-13188
2.168915,285,83,-13253
2.184540,269,124,-13219
2.200165,355,149,-13119
2.215790,251,137,-13279
2.231415,289,114,-13308
2.247040,280,183,-13222
2.262665,128,207,-13206
2.278290,230,112,-13170
2.293915,292,110,-13228
2.309540,266,114,-13279
2.325165,214,173,-13245
2.340790,153,210,-13224
2.356415,241,137,-13172
2.372040,223,173,-13210
2.387665,239,158,-13285
2.403290,267,178,-13217
2.418915,139,244,-13229
2.434540,216,121,-13238
2.450165,273,130,-13161
