;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-01-05, 21:35:37.789
;Temperature, -999.00, deg C,  Vbat, 4160, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.358887,-31,-358,-12545
0.374512,-118,-367,-13026
0.390137,-99,-388,-13497
0.405762,376,-283,-13008
0.421387,348,-317,-13344
0.437012,119,-418,-13599
0.452637,199,-422,-12874
0.483887,5,-465,-12869
0.499512,-142,-477,-13236
0.515137,112,-386,-12992
0.530762,280,-311,-13078
0.546387,292,-304,-13538
0.562012,285,-327,-13367
0.577637,214,-367,-12983
0.593262,-50,-481,-13154
0.608887,-202,-559,-13099
0.624512,14,-511,-12792
0.640137,105,-470,-13231
0.655762,192,-417,-13463
0.671387,457,-334,-13099
0.687012,294,-388,-13326
0.702637,53,-461,-13322
0.718262,99,-436,-12801
0.733887,-74,-486,-13028
0.749512,-56,-492,-13254
0.765137,242,-409,-13063
0.780762,228,-440,-13320
0.796387,192,-470,-13419
0.812012,192,-463,-13083
0.827637,21,-500,-13053
0.843262,-63,-509,-13113
0.858887,49,-456,-12974
0.874512,205,-402,-13101
0.890137,267,-379,-13397
0.905762,314,-354,-13274
0.921387,285,-374,-13126
0.937012,33,-484,-13260
0.952637,-72,-540,-13028
0.968262,19,-500,-12878
0.983887,-25,-506,-13267
0.999512,142,-465,-13215
1.015137,367,-367,-13106
1.030762,228,-383,-13429
1.046387,194,-404,-13190
1.062012,158,-422,-12933
1.077637,-59,-484,-13179
1.093262,37,-454,-13067
1.108887,191,-424,-13033
1.124512,164,-443,-13358
1.140137,258,-408,-13306
1.155762,210,-417,-13154
1.171387,42,-452,-13156
1.187012,3,-429,-13072
1.202637,1,-434,-13028
1.218262,110,-409,-13106
1.233887,210,-354,-13285
1.249512,258,-334,-13270
1.265137,303,-334,-13161
1.280762,135,-411,-13274
1.296387,17,-459,-13103
1.312012,39,-436,-12910
1.327637,-42,-454,-13208
1.343262,89,-409,-13203
1.358887,274,-325,-13085
1.374512,185,-361,-13369
1.390137,182,-365,-13283
1.405762,166,-338,-13024
1.421387,12,-399,-13122
1.437012,33,-418,-13131
1.452637,123,-390,-13085
1.468262,174,-377,-13204
1.483887,216,-367,-13299
1.499512,191,-363,-13220
1.515137,142,-358,-13079
1.530762,7,-395,-13129
1.546387,-52,-408,-13113
1.562012,85,-359,-13022
1.577637,132,-352,-13224
1.593262,198,-340,-13285
1.608887,291,-313,-13156
1.624512,167,-402,-13254
1.640137,103,-475,-13170
1.655762,74,-436,-13006
1.671387,-11,-427,-13110
1.687012,103,-415,-13147
1.702637,192,-370,-13211
1.718262,171,-350,-13285
1.733887,198,-342,-13178
1.749512,119,-395,-13167
1.765137,57,-440,-13113
1.780762,101,-427,-13035
1.796387,78,-442,-13160
1.812012,157,-422,-13174
1.827637,246,-390,-13203
1.843262,182,-400,-13278
1.858887,149,-384,-13145
1.874512,62,-413,-13144
1.890137,10,-454,-13128
1.905762,91,-413,-13019
1.921387,87,-395,-13203
1.937012,169,-397,-13251
1.952637,292,-390,-13144
1.968262,187,-445,-13254
1.983887,123,-484,-13147
1.999512,116,-483,-13031
2.015137,32,-483,-13160
2.030762,92,-440,-13104
2.046387,153,-406,-13167
2.062012,149,-381,-13288
2.077637,221,-343,-13149
2.093262,139,-397,-13194
2.108887,64,-449,-13186
2.124512,130,-463,-13020
2.140137,85,-499,-13156
2.155762,133,-468,-13204
2.171387,230,-433,-13151
2.187012,173,-436,-13260
2.202637,174,-411,-13199
2.218262,123,-417,-13126
2.233887,19,-418,-13142
2.249512,73,-406,-13094
2.265137,103,-429,-13151
2.280762,148,-402,-13190
2.296387,226,-379,-13204
2.312012,180,-424,-13233
2.327637,174,-442,-13106
2.343262,117,-450,-13101
2.358887,12,-456,-13153
2.374512,117,-408,-13049
2.390137,160,-397,-13176
2.405762,123,-386,-13265
2.421387,214,-329,-13124
2.437012,135,-354,-13210
2.452637,62,-402,-13183
2.468262,130,-406,-13011
2.483887,55,-443,-13142
2.499512,110,-450,-13174
2.515137,232,-411,-13151
2.530762,173,-397,-13261
2.546387,191,-363,-13176
2.562012,128,-370,-13145
2.577637,19,-404,-13153
2.593262,89,-372,-13054
2.608887,60,-383,-13161
2.624512,96,-395,-13188
2.640137,224,-367,-13165
2.655762,173,-400,-13276
2.671387,180,-406,-13129
2.687012,148,-395,-13079
2.702637,32,-420,-13197
2.718262,105,-384,-13078
2.733887,123,-368,-13138
2.749512,133,-368,-13265
2.765137,226,-340,-13169
2.780762,146,-379,-13199
2.796387,99,-413,-13163
2.812012,96,-408,-13063
2.827637,39,-438,-13126
2.843262,137,-424,-13106
2.858887,183,-388,-13167
2.874512,162,-400,-13258
2.890137,232,-402,-13153
2.905762,144,-404,-13179
2.921387,60,-411,-13169
2.937012,108,-384,-13045
2.952637,60,-400,-13183
2.968262,98,-427,-13210
2.983887,210,-408,-13101
2.999512,157,-436,-13229
3.015137,153,-450,-13220
3.030762,164,-443,-13110
3.046387,82,-443,-13126
3.062012,91,-402,-13099
3.077637,110,-411,-13160
3.093262,146,-404,-13197
3.109009,189,-372,-13153
3.124634,132,-417,-13208
3.140259,135,-436,-13165
3.155884,119,-443,-13108
3.171509,58,-474,-13154
3.187134,135,-445,-13129
3.202759,160,-433,-13163
3.218384,162,-431,-13188
3.234009,226,-395,-13161
3.249634,149,-413,-13217
3.265259,110,-422,-13119
3.280884,121,-417,-13069
3.296509,35,-449,-13201
3.312134,117,-429,-13120
3.327759,189,-418,-13151
3.343384,110,-445,-13286
3.359009,171,-422,-13101
3.374634,166,-449,-13124
3.390259,78,-477,-13258
3.405884,142,-411,-13058
3.421509,130,-392,-13099
3.437134,96,-397,-13260
3.452759,178,-372,-13176
3.468384,141,-408,-13186
3.484009,96,-422,-13169
3.499634,112,-413,-13128
3.515259,78,-445,-13147
3.530884,139,-438,-13085
3.546509,160,-434,-13197
3.562134,146,-424,-13229
3.577759,232,-368,-13099
3.593384,146,-379,-13238
3.609009,74,-400,-13195
3.624634,144,-397,-13044
3.640259,69,-429,-13213
3.655884,98,-397,-13165
3.671509,171,-368,-13104
3.687134,101,-417,-13269
3.702759,166,-402,-13161
3.718384,151,-400,-13110
3.734009,76,-424,-13183
3.749634,167,-400,-13094
3.765259,146,-409,-13156
