;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-01-05, 22:31:48.790
;Temperature, -999.00, deg C,  Vbat, 4154, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.389374,-624,-12081,-7623
0.404999,1915,-3213,-5009
0.420624,-704,5217,-10165
0.436249,-2286,2324,-12231
0.451874,689,1483,-11092
0.467499,185,1328,-12938
0.483124,-740,1651,-13438
0.514374,-322,657,-12694
0.529999,-275,498,-13376
0.545624,-342,715,-13245
0.561249,-308,598,-12910
0.576874,-288,742,-13256
0.592499,-315,837,-13276
0.608124,-363,694,-12920
0.623749,-365,721,-13245
0.639374,-320,742,-13276
0.654999,-375,419,-12940
0.670624,-336,476,-13285
0.686249,-340,358,-13228
0.701874,-342,146,-12981
0.717499,-325,144,-13260
0.733124,-338,114,-13244
0.748749,-343,-118,-12990
0.764374,-347,-31,-13249
0.779999,-377,-68,-13217
0.795624,-404,-131,-13028
0.811249,-397,-15,-13211
0.826874,-377,94,-13219
0.842499,-388,98,-13019
0.858124,-374,298,-13224
0.873749,-350,446,-13188
0.889374,-365,428,-13040
0.904999,-322,582,-13253
0.920624,-315,558,-13190
0.936249,-306,546,-13045
0.951874,-322,512,-13215
0.967499,-340,487,-13235
0.983124,-375,285,-13028
0.998749,-377,305,-13238
1.014374,-383,230,-13190
1.029999,-390,98,-13040
1.045624,-358,114,-13222
1.061249,-359,114,-13213
1.076874,-368,49,-13038
1.092499,-361,89,-13199
1.108124,-352,153,-13219
1.123749,-368,89,-13067
1.139252,-354,233,-13222
1.154877,-359,257,-13170
1.170502,-368,285,-13085
1.186127,-367,387,-13219
1.201752,-374,449,-13165
1.217377,-386,412,-13079
1.233002,-342,494,-13249
1.248627,-327,444,-13136
1.264252,-338,374,-13070
1.279877,-308,392,-13231
1.295502,-338,308,-13161
1.311127,-377,205,-13081
1.326752,-365,182,-13219
1.342377,-384,144,-13179
1.358002,-422,46,-13085
1.373627,-381,110,-13210
1.389252,-375,98,-13169
1.404877,-375,124,-13106
1.420502,-345,189,-13188
1.436127,-331,276,-13190
1.451752,-333,283,-13092
1.467377,-338,351,-13181
1.483002,-352,391,-13195
1.498627,-349,380,-13131
1.514252,-365,405,-13147
1.529877,-379,387,-13188
1.545502,-356,337,-13153
1.561127,-368,310,-13142
1.576752,-356,339,-13170
1.592377,-358,241,-13135
1.608002,-363,244,-13172
1.623627,-349,223,-13145
1.639252,-345,185,-13142
1.654877,-361,157,-13165
1.670502,-352,160,-13138
1.686127,-336,144,-13142
1.701752,-370,174,-13201
1.717377,-386,203,-13126
1.733002,-352,212,-13138
1.748627,-350,278,-13229
1.764252,-370,307,-13140
1.779877,-334,349,-13124
1.795502,-320,385,-13194
1.811127,-336,403,-13133
1.826752,-349,360,-13117
1.842377,-358,362,-13201
1.858002,-374,294,-13140
1.873627,-374,280,-13151
1.889252,-377,244,-13179
1.904877,-384,171,-13151
1.920502,-365,151,-13144
1.936127,-358,167,-13154
1.951752,-374,187,-13160
1.967377,-367,189,-13151
1.983002,-343,242,-13153
1.998627,-372,260,-13151
2.014252,-375,285,-13136
2.029877,-354,287,-13128
2.045502,-349,294,-13170
2.061127,-358,312,-13160
2.076752,-372,319,-13131
2.092377,-368,305,-13161
2.108002,-359,328,-13176
2.123627,-368,308,-13126
2.139374,-354,301,-13142
2.154999,-318,296,-13169
2.170624,-311,260,-13158
2.186249,-342,249,-13145
2.201874,-368,239,-13170
2.217499,-367,233,-13158
2.233124,-375,191,-13120
2.248749,-388,210,-13178
2.264374,-390,207,-13158
2.279999,-368,194,-13126
2.295624,-358,224,-13179
2.311249,-356,273,-13172
2.326874,-350,282,-13119
2.342499,-356,332,-13174
2.358124,-359,355,-13174
2.373749,-370,321,-13129
2.389374,-377,332,-13167
2.404999,-358,319,-13156
2.420624,-345,289,-13149
2.436249,-374,276,-13163
2.451874,-375,248,-13136
2.467499,-352,223,-13161
2.483124,-347,237,-13170
2.498749,-363,212,-13124
2.514374,-365,242,-13176
2.529999,-345,255,-13181
2.545624,-338,233,-13131
2.561249,-359,251,-13151
2.576874,-365,282,-13172
2.592499,-365,271,-13135
2.608124,-370,271,-13140
2.623749,-363,287,-13178
2.639374,-358,294,-13170
2.654999,-347,292,-13131
2.670624,-356,283,-13158
2.686249,-349,317,-13178
2.701874,-347,296,-13119
2.717499,-361,296,-13160
2.733124,-356,278,-13158
2.748749,-354,249,-13111
2.764374,-374,260,-13174
2.779999,-379,257,-13183
2.795624,-359,208,-13124
2.811249,-354,224,-13183
2.826874,-365,244,-13160
2.842499,-368,228,-13117
2.858124,-367,266,-13204
2.873749,-363,278,-13163
2.889374,-358,289,-13119
2.904999,-350,298,-13199
2.920624,-343,289,-13169
2.936249,-347,283,-13128
2.951874,-347,314,-13188
2.967499,-363,282,-13138
2.983124,-374,267,-13142
2.998749,-367,276,-13181
3.014374,-370,253,-13128
3.029999,-359,235,-13158
3.045624,-352,242,-13188
3.061249,-374,239,-13120
3.076874,-374,239,-13165
3.092499,-354,266,-13174
3.108124,-365,248,-13104
3.123749,-356,267,-13176
3.139252,-358,274,-13170
3.154877,-358,262,-13111
3.170502,-361,271,-13185
3.186127,-392,289,-13190
3.201752,-381,262,-13085
3.217377,-354,287,-13151
3.233002,-354,307,-13192
3.248627,-354,276,-13108
3.264252,-359,287,-13149
3.279877,-349,278,-13197
3.295502,-334,251,-13126
3.311127,-352,244,-13144
3.326752,-356,264,-13185
3.342377,-352,241,-13124
3.358002,-358,266,-13161
3.373627,-381,257,-13170
3.389252,-397,241,-13126
3.404877,-367,273,-13174
3.420502,-338,280,-13169
3.436127,-354,276,-13120
3.451752,-363,307,-13161
3.467377,-342,291,-13135
