Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
.00, .206, -.211, 10.059
.10, .244, -.182, 10.059
.20, .216, -.192, 10.059
.30, .235, -.196, 10.059
.40, .235, -.187, 10.069
.50, .225, -.196, 10.045
.60, .235, -.187, 10.059
.70, .206, -.192, 10.05
.80, .235, -.192, 10.064
.90, .22, -.201, 10.054
1.00, .24, -.211, 10.05
1.10, .24, -.182, 10.05
1.20, .216, -.211, 10.059
1.30, .244, -.182, 10.054
1.40, .225, -.187, 10.064
1.50, .23, -.187, 10.05
1.60, .225, -.187, 10.073
1.70, .22, -.182, 10.05
1.80, .24, -.192, 10.05
1.90, .206, -.192, 10.064
2.00, .216, -.172, 10.045
2.10, -.335, 1.092, 9.93
2.20, .211, -.192, 10.05
2.30, .407, -.273, 10.088
2.40, .455, -.292, 10.112
2.50, .666, -.378, 10.03
2.60, .666, -.34, 10.026
2.70, .795, -.225, 10.059
2.80, .172, .072, 9.987
2.90, -.68, .441, 10.083
3.00, -.067, -.0, 10.069
3.10, .048, -.048, 10.069
3.20, .139, -.077, 10.045
3.30, -.589, .244, 10.059
3.40, -1.906, .848, 10.05
3.50, .201, .019, 10.04
3.60, .129, .125, 9.997
3.70, .584, -.168, 10.021
3.80, .599, -.187, 10.121
3.90, .24, -.072, 10.054
4.00, .776, -.321, 10.093
4.10, .498, -.201, 10.126
4.20, 1.073, -.479, 10.069
4.30, .393, -.216, 10.078
4.40, .321, -.182, 10.073
4.50, .455, -.249, 10.073
4.60, .259, -.139, 10.059
4.70, .364, -.201, 10.083
4.80, .192, -.129, 10.059
4.90, .292, -.163, 10.059
5.00, .345, -.182, 10.064
5.10, .311, -.177, 10.073
5.20, .091, -.081, 10.03
5.30, .196, -.125, 10.059
5.40, .345, -.187, 10.088
5.50, .34, -.206, 10.04
5.60, .278, -.158, 10.064
5.70, .273, -.158, 10.059
5.80, .335, -.187, 10.059
5.90, .201, -.134, 10.05
6.00, .364, -.206, 10.05
6.10, .354, -.196, 10.069
6.20, .388, -.192, 10.083
6.30, .206, -.115, 10.045
6.40, .263, -.134, 10.078
6.50, .244, -.125, 10.069
6.60, .254, -.134, 10.093
6.70, .307, -.163, 10.064
6.80, .287, -.158, 10.069
6.90, .177, -.101, 10.088
7.00, .378, -.196, 10.05
7.10, .354, -.192, 10.064
7.20, .244, -.115, 10.035
7.30, .35, -.177, 10.064
7.40, .254, -.129, 10.05
7.50, .206, -.115, 10.035
7.60, .225, -.12, 10.03
7.70, .431, -.201, 10.045
7.80, .287, -.153, 10.064
7.90, -.101, .048, 10.069
8.00, -.081, -.0, 10.064
8.10, -.402, .326, 10.083
8.20, -.249, .532, 10.073
8.30, 1.097, -.019, 10.083
8.40, 1.916, -.69, 10.04
8.50, .829, -.364, 10.121
8.60, 1.121, -.23, 10.03
8.70, -.69, .589, 9.963
8.80, -.029, .125, 9.968
8.90, -.905, .493, 10.064
9.00, .12, -.067, 10.064
9.10, -.829, .407, 10.045
9.20, 1.174, -.503, 10.083
9.30, -.977, .498, 10.069
9.40, .134, .091, 10.05
9.50, 1.039, -.422, 10.035
9.60, .345, -.125, 10.141
9.70, .675, -.278, 10.093
9.80, .283, -.139, 10.054
9.90, .22, -.11, 10.069
10.00, 1.015, -.45, 10.078
10.10, .513, -.263, 10.059
10.20, .297, -.168, 10.064
10.30, .268, -.168, 10.064
10.40, .671, -.316, 10.069
10.50, 5.734, -.498, 13.556
10.60, .699, -.168, 10.126
10.70, .101, -.182, 10.059
10.80, .11, -.187, 10.026
10.90, -.249, -.249, 10.045
11.00, .244, -.182, 10.131
11.10, -.426, -.283, 10.002
11.20, .091, -.091, 10.112
11.30, .608, .024, 10.064
11.40, .695, .048, 10.083
11.50, .575, .043, 9.958
11.60, .493, .038, 10.05
11.70, .838, -.0, 10.078
11.80, 1.159, -.081, 10.088
11.90, .412, -.196, 10.107
12.00, .484, -.11, 10.006
12.10, .656, -.115, 10.093
12.20, .125, -.148, 10.03
12.30, -.148, -.168, 10.126
12.40, .134, -.163, 10.045
12.50, -.316, -.211, 10.03
12.60, .311, -.144, 10.222
