Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
1/20/2020,2:49:38 PM,0.00,0.57,-0.91,1.03
1/20/2020,2:49:38 PM,0.10,0.56,-0.91,1.03
1/20/2020,2:49:39 PM,0.20,0.56,-0.9,1.03
1/20/2020,2:49:39 PM,0.30,0.56,-0.91,1.03
1/20/2020,2:49:39 PM,0.40,0.56,-0.91,1.03
1/20/2020,2:49:39 PM,0.50,0.57,-0.91,1.03
1/20/2020,2:49:39 PM,0.60,0.57,-0.91,1.03
1/20/2020,2:49:39 PM,0.70,0.57,-0.91,1.03
1/20/2020,2:49:39 PM,0.80,0.57,-0.91,1.03
1/20/2020,2:49:39 PM,0.90,0.56,-0.9,1.03
1/20/2020,2:49:39 PM,1.00,0.56,-0.91,1.03
1/20/2020,2:49:39 PM,1.10,0.56,-0.91,1.03
1/20/2020,2:49:40 PM,1.20,0.56,-0.91,1.03
1/20/2020,2:49:40 PM,1.30,0.57,-0.92,1.03
1/20/2020,2:49:40 PM,1.40,0.57,-0.91,1.03
1/20/2020,2:49:40 PM,1.50,0.57,-0.91,1.03
1/20/2020,2:49:40 PM,1.60,0.57,-0.9,1.03
1/20/2020,2:49:40 PM,1.70,0.56,-0.9,1.03
1/20/2020,2:49:40 PM,1.80,0.56,-0.9,1.03
1/20/2020,2:49:40 PM,1.90,0.56,-0.91,1.03
1/20/2020,2:49:40 PM,2.00,0.56,-0.91,1.03
1/20/2020,2:49:40 PM,2.10,0.57,-0.92,1.03
1/20/2020,2:49:41 PM,2.20,0.57,-0.91,1.03
1/20/2020,2:49:41 PM,2.30,0.57,-0.91,1.03
1/20/2020,2:49:41 PM,2.40,0.56,-0.9,1.03
1/20/2020,2:49:41 PM,2.50,0.56,-0.91,1.03
1/20/2020,2:49:41 PM,2.60,0.56,-0.91,1.03
1/20/2020,2:49:41 PM,2.70,0.56,-0.91,1.03
1/20/2020,2:49:41 PM,2.80,0.57,-0.92,1.03
1/20/2020,2:49:41 PM,2.90,0.57,-0.92,1.03
1/20/2020,2:49:41 PM,3.00,0.57,-0.91,1.03
1/20/2020,2:49:41 PM,3.10,0.57,-0.9,1.03
1/20/2020,2:49:42 PM,3.20,0.56,-0.9,1.03
1/20/2020,2:49:42 PM,3.30,0.56,-0.91,1.03
1/20/2020,2:49:42 PM,3.40,0.56,-0.91,1.03
1/20/2020,2:49:42 PM,3.50,0.57,-0.92,1.03
1/20/2020,2:49:42 PM,3.60,0.57,-0.92,1.03
1/20/2020,2:49:42 PM,3.70,0.57,-0.91,1.03
1/20/2020,2:49:42 PM,3.80,0.57,-0.91,1.03
1/20/2020,2:49:42 PM,3.90,0.56,-0.9,1.02
1/20/2020,2:49:42 PM,4.00,0.56,-0.9,1.03
1/20/2020,2:49:42 PM,4.10,0.56,-0.91,1.03
1/20/2020,2:49:43 PM,4.20,0.57,-0.91,1.03
1/20/2020,2:49:43 PM,4.30,0.57,-0.92,1.03
1/20/2020,2:49:43 PM,4.40,0.57,-0.92,1.03
1/20/2020,2:49:43 PM,4.50,0.57,-0.91,1.03
1/20/2020,2:49:43 PM,4.60,0.57,-0.91,1.03
1/20/2020,2:49:43 PM,4.70,0.56,-0.9,1.03
1/20/2020,2:49:43 PM,4.80,0.56,-0.9,1.03
1/20/2020,2:49:43 PM,4.90,0.56,-0.91,1.03
1/20/2020,2:49:43 PM,5.00,0.57,-0.91,1.03
1/20/2020,2:49:43 PM,5.10,0.57,-0.92,1.03
1/20/2020,2:49:44 PM,5.20,0.57,-0.92,1.03
1/20/2020,2:49:44 PM,5.30,0.57,-0.91,1.03
1/20/2020,2:49:44 PM,5.40,0.56,-0.9,1.03
1/20/2020,2:49:44 PM,5.50,0.56,-0.9,1.03
1/20/2020,2:49:44 PM,5.60,0.56,-0.91,1.03
1/20/2020,2:49:44 PM,5.70,0.56,-0.91,1.03
1/20/2020,2:49:44 PM,5.80,0.57,-0.92,1.03
1/20/2020,2:49:44 PM,5.90,0.57,-0.92,1.03
1/20/2020,2:49:44 PM,6.00,0.57,-0.91,1.03
1/20/2020,2:49:44 PM,6.10,0.57,-0.91,1.03
1/20/2020,2:49:45 PM,6.20,0.56,-0.9,1.03
1/20/2020,2:49:45 PM,6.30,0.56,-0.91,1.03
1/20/2020,2:49:45 PM,6.40,0.56,-0.91,1.03
1/20/2020,2:49:45 PM,6.50,0.57,-0.91,1.03
1/20/2020,2:49:45 PM,6.60,0.57,-0.92,1.02
1/20/2020,2:49:45 PM,6.70,0.57,-0.92,1.03
1/20/2020,2:49:45 PM,6.80,0.57,-0.91,1.03
1/20/2020,2:49:45 PM,6.90,0.56,-0.9,1.03
1/20/2020,2:49:45 PM,7.00,0.56,-0.9,1.03
1/20/2020,2:49:45 PM,7.10,0.56,-0.91,1.03
1/20/2020,2:49:46 PM,7.20,0.56,-0.91,1.03
1/20/2020,2:49:46 PM,7.30,0.57,-0.91,1.03
1/20/2020,2:49:46 PM,7.40,0.57,-0.92,1.03
1/20/2020,2:49:46 PM,7.50,0.57,-0.91,1.03
1/20/2020,2:49:46 PM,7.60,0.57,-0.91,1.03
1/20/2020,2:49:46 PM,7.70,0.56,-0.9,1.02
1/20/2020,2:49:46 PM,7.80,0.56,-0.91,1.02
1/20/2020,2:49:46 PM,7.90,0.56,-0.91,1.03
1/20/2020,2:49:46 PM,8.00,0.56,-0.91,1.03
1/20/2020,2:49:46 PM,8.10,0.57,-0.92,1.03
1/20/2020,2:49:47 PM,8.20,0.57,-0.92,1.03
1/20/2020,2:49:47 PM,8.30,0.57,-0.91,1.03
1/20/2020,2:49:47 PM,8.40,0.56,-0.91,1.03
1/20/2020,2:49:47 PM,8.50,0.56,-0.9,1.02
1/20/2020,2:49:47 PM,8.60,0.56,-0.91,1.03
1/20/2020,2:49:47 PM,8.70,0.56,-0.91,1.03
1/20/2020,2:49:47 PM,8.80,0.57,-0.91,1.03
1/20/2020,2:49:47 PM,8.90,0.57,-0.92,1.03
1/20/2020,2:49:47 PM,9.00,0.57,-0.91,1.03
1/20/2020,2:49:47 PM,9.10,0.57,-0.91,1.03
1/20/2020,2:49:48 PM,9.20,0.56,-0.9,1.03
1/20/2020,2:49:48 PM,9.30,0.56,-0.9,1.03
1/20/2020,2:49:48 PM,9.40,0.56,-0.91,1.03
1/20/2020,2:49:48 PM,9.50,0.56,-0.91,1.03
1/20/2020,2:49:48 PM,9.60,0.57,-0.92,1.03
1/20/2020,2:49:48 PM,9.70,0.57,-0.92,1.03
1/20/2020,2:49:48 PM,9.80,0.57,-0.91,1.03
1/20/2020,2:49:48 PM,9.90,0.56,-0.91,1.03
1/20/2020,2:49:48 PM,10.00,0.56,-0.9,1.02
1/20/2020,2:49:48 PM,10.10,0.56,-0.91,1.03
1/20/2020,2:49:49 PM,10.20,0.56,-0.91,1.03
1/20/2020,2:49:49 PM,10.30,0.57,-0.92,1.03
1/20/2020,2:49:49 PM,10.40,0.57,-0.92,1.03
1/20/2020,2:49:49 PM,10.50,0.57,-0.92,1.03
1/20/2020,2:49:49 PM,10.60,0.57,-0.91,1.03
1/20/2020,2:49:49 PM,10.70,0.56,-0.9,1.03
1/20/2020,2:49:49 PM,10.80,0.56,-0.9,1.03
1/20/2020,2:49:49 PM,10.90,0.56,-0.91,1.04
1/20/2020,2:49:49 PM,11.00,0.56,-0.91,1.03
1/20/2020,2:49:49 PM,11.10,0.57,-0.92,1.03
1/20/2020,2:49:50 PM,11.20,0.57,-0.92,1.02
1/20/2020,2:49:50 PM,11.30,0.57,-0.91,1.03
1/20/2020,2:49:50 PM,11.40,0.57,-0.91,1.03
1/20/2020,2:49:50 PM,11.50,0.56,-0.9,1.03
1/20/2020,2:49:50 PM,11.60,0.56,-0.91,1.03
1/20/2020,2:49:50 PM,11.70,0.56,-0.91,1.03
1/20/2020,2:49:50 PM,11.80,0.57,-0.91,1.03
1/20/2020,2:49:50 PM,11.90,0.57,-0.92,1.03
1/20/2020,2:49:50 PM,12.00,0.57,-0.92,1.03
1/20/2020,2:49:50 PM,12.10,0.57,-0.91,1.03
1/20/2020,2:49:51 PM,12.20,0.56,-0.9,1.03
1/20/2020,2:49:51 PM,12.30,0.56,-0.91,1.03
1/20/2020,2:49:51 PM,12.40,0.56,-0.91,1.03
1/20/2020,2:49:51 PM,12.50,0.56,-0.91,1.03
1/20/2020,2:49:51 PM,12.60,0.57,-0.92,1.03
1/20/2020,2:49:51 PM,12.70,0.57,-0.92,1.03
1/20/2020,2:49:51 PM,12.80,0.57,-0.91,1.03
1/20/2020,2:49:51 PM,12.90,0.57,-0.91,1.03
1/20/2020,2:49:51 PM,13.00,0.56,-0.9,1.02
1/20/2020,2:49:51 PM,13.10,0.56,-0.91,1.03
1/20/2020,2:49:52 PM,13.20,0.56,-0.91,1.03
1/20/2020,2:49:52 PM,13.30,0.57,-0.91,1.03
1/20/2020,2:49:52 PM,13.40,0.57,-0.92,1.03
