;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-02-12, 01:31:47.715
;Temperature, -999.00, deg C,  Vbat, 4162, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.421814,-1420,-100,-12803
0.437439,-1349,-475,-12078
0.453064,-1465,-158,-11105
0.468689,-1491,487,-11265
0.484314,-1561,391,-11490
0.499939,-1666,155,-10669
0.515564,-1766,528,-10126
0.546814,-1427,112,-9758
0.562439,-790,-542,-9478
0.578064,-584,-15,-10974
0.593689,-711,-154,-12970
0.609314,-950,-970,-13644
0.624939,-679,-772,-14019
0.640564,73,-781,-14747
0.656189,-67,-1474,-15202
0.671814,-763,-1545,-15118
0.687439,-911,-1327,-14974
0.703064,-733,-1077,-14638
0.718689,-486,-567,-14083
0.734314,-243,-515,-14111
0.749939,-233,-740,-14747
0.765564,-370,-831,-14929
0.781189,-543,-1104,-14277
0.796814,-595,-761,-13915
0.812439,-261,-59,-14108
0.828064,-111,-167,-13858
0.843689,-442,-349,-13290
0.859314,-515,-295,-13094
0.874939,-340,-392,-13174
0.890564,-309,-500,-13031
0.906189,-293,-290,-13028
0.921814,-331,-86,-13538
0.937439,-434,-493,-13719
0.953064,-458,-838,-13367
0.968689,-383,-774,-13069
0.984314,-306,-538,-13019
0.999939,-272,-322,-13003
1.015564,-292,-500,-13036
1.031189,-425,-824,-13124
1.046814,-508,-734,-13156
1.062439,-338,-524,-13347
1.078064,-161,-761,-13465
1.093689,-238,-793,-13210
1.109314,-377,-531,-12969
1.124939,-411,-659,-12949
1.140564,-347,-845,-13117
1.156189,-279,-670,-13294
1.171814,-324,-225,-13158
1.187439,-409,-95,-13144
1.203064,-450,-347,-13247
1.218689,-420,-340,-13060
1.234314,-340,-324,-12976
1.249939,-293,-500,-13054
1.265564,-245,-509,-13133
1.281189,-234,-638,-13211
1.296814,-375,-838,-13061
1.312439,-459,-572,-12872
1.328064,-327,-511,-12737
1.343689,-172,-863,-12645
1.359314,-249,-208,-13219
1.374939,-384,-752,-12656
1.390564,-317,-2243,-11294
1.406189,-634,-470,-12504
1.421814,-572,424,-13686
1.437439,178,-820,-13167
1.453064,-90,-250,-13113
1.468689,-467,226,-13231
1.484314,-170,-72,-13011
1.499939,-142,-17,-12951
1.515564,-175,-131,-13254
1.531189,-100,-104,-13351
1.546814,-97,191,-13147
1.562439,-43,273,-13135
1.578064,19,244,-13204
1.593689,-68,196,-13186
1.609314,-163,108,-13151
1.624939,-90,142,-13161
1.640564,-50,203,-13108
1.656189,-268,-56,-13053
1.671814,-145,191,-13161
1.687439,-50,251,-13226
1.703064,-708,-731,-13167
1.718689,-184,264,-12981
1.734314,578,1240,-12983
1.749939,-74,103,-13197
1.765564,-208,24,-13210
1.781189,-31,269,-13169
1.796814,-154,87,-13174
1.812439,-125,176,-13178
1.828064,-99,183,-13176
1.843689,-99,178,-13165
1.859314,-113,191,-13170
1.874939,-117,192,-13163
1.890564,-102,183,-13158
1.906189,-108,180,-13151
1.921814,-125,194,-13142
1.937439,-118,176,-13179
1.953064,-109,155,-13190
1.968689,-118,173,-13153
1.984314,-120,189,-13161
1.999939,-97,174,-13181
2.015564,-93,171,-13161
2.031189,-118,180,-13153
2.046814,-125,182,-13161
2.062439,-120,176,-13158
2.078064,-113,158,-13158
2.093689,-97,162,-13145
2.109314,-99,180,-13153
2.124939,-113,173,-13163
