;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-01-01, 01:00:12.707
;Temperature, -999.00, deg C,  Vbat, 4190, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.451721,573,291,-13170
0.467346,560,282,-13156
0.482971,566,274,-13154
0.498596,587,296,-13147
0.514221,564,307,-13165
0.529846,537,317,-13197
0.545471,562,328,-13183
0.576721,560,301,-13169
0.592346,541,291,-13167
0.607971,555,287,-13145
0.623596,576,274,-13140
0.639221,569,283,-13165
0.654846,544,308,-13201
0.670471,560,316,-13211
0.686096,578,332,-13185
0.701721,558,337,-13172
0.717346,553,280,-13172
0.732971,557,266,-13140
0.748596,566,301,-13129
0.764221,549,307,-13138
0.779846,558,280,-13151
0.795471,594,278,-13195
0.811096,535,358,-13199
0.826721,496,374,-13158
0.842346,564,287,-13170
0.857971,576,289,-13161
0.873596,553,308,-13122
0.889221,623,226,-13178
0.904846,637,228,-13220
0.920471,530,323,-13172
0.936096,482,367,-13149
0.951721,528,335,-13163
0.967346,564,274,-13161
0.982971,573,266,-13158
0.998596,617,248,-13192
1.014221,612,253,-13192
1.029846,519,332,-13163
1.045471,489,366,-13169
1.061096,551,305,-13160
1.076721,603,241,-13179
1.092346,589,253,-13210
1.107971,533,296,-13142
1.123596,528,298,-13108
1.139221,596,260,-13201
1.154846,603,296,-13222
1.170471,528,364,-13154
1.186096,498,348,-13144
1.201721,555,294,-13158
1.217346,605,253,-13179
1.232971,555,289,-13165
1.248596,537,328,-13120
1.264221,607,269,-13154
1.279846,624,249,-13206
1.295471,569,324,-13185
1.311096,535,369,-13145
1.326721,541,335,-13128
1.342346,576,282,-13153
1.357971,587,278,-13178
1.373596,533,326,-13161
1.389221,501,349,-13153
1.404846,519,341,-13138
1.420471,558,278,-13144
1.436096,598,237,-13179
1.451721,551,324,-13161
1.467346,514,357,-13145
1.482971,587,255,-13195
1.498596,592,264,-13203
1.514221,517,366,-13163
1.529846,526,364,-13153
1.545471,537,324,-13142
1.561096,573,282,-13158
1.576721,621,251,-13195
1.592346,564,283,-13176
1.607971,558,276,-13172
1.623596,589,276,-13179
1.639221,532,341,-13151
1.654846,510,351,-13172
1.670471,537,328,-13169
1.686096,541,321,-13110
1.701721,573,269,-13158
1.717346,614,241,-13206
1.732971,587,287,-13161
1.748596,582,276,-13163
1.764221,605,251,-13194
1.779846,567,260,-13194
1.795471,596,316,-13108
1.811096,557,292,-13251
1.826721,524,292,-13178
1.842346,744,416,-12922
1.857971,310,-127,-13710
1.873596,1533,-359,-11537
1.889221,5799,-1534,-8664
1.904846,6967,-2977,-13060
1.920471,5017,953,-16818
1.936096,3558,4995,-15640
1.951721,1228,4263,-15690
1.967346,-756,1849,-14160
1.982971,-1856,-1236,-9433
1.998596,-2315,-2016,-6735
2.014221,-1911,-238,-8971
2.029846,-945,1173,-13279
2.045471,99,2028,-15354
2.061096,-272,2449,-15463
2.076721,312,2174,-15284
2.092346,1705,1185,-14968
2.107971,519,99,-13572
2.123596,-620,-183,-11530
2.139221,-479,-45,-11524
2.154846,-983,492,-12512
2.170471,-1784,1344,-12708
2.186096,-1591,1549,-13126
2.201721,-475,1223,-13499
2.217346,-188,601,-13224
2.232971,-233,26,-12954
2.248596,876,-127,-13040
2.264221,1474,-49,-13165
2.279846,528,307,-13545
2.295471,107,735,-14117
2.311096,740,808,-13760
2.326721,574,628,-12860
2.342346,-263,233,-12719
2.357971,-156,-206,-12679
2.373596,569,-268,-12113
2.389221,823,-145,-12374
2.404846,817,51,-13622
2.420471,1085,376,-14063
2.436096,1298,553,-13763
2.451721,1049,457,-13885
2.467346,849,189,-13761
2.482971,958,-93,-12792
2.498596,739,-263,-12137
2.514221,219,-293,-12422
2.529846,191,-138,-12735
2.545471,651,107,-12883
2.561096,951,289,-13449
2.576721,910,394,-13949
2.592346,949,342,-13781
2.607971,1228,92,-13390
2.623596,1253,-197,-13206
2.639221,844,-242,-13047
2.654846,573,-25,-12831
2.670471,558,192,-12785
2.686096,235,355,-12953
2.701721,-15,403,-13142
2.717346,405,299,-13144
2.732971,719,219,-13047
2.748596,514,185,-13201
2.764221,544,187,-13399
2.779846,940,235,-13361
2.795471,948,244,-13422
2.811096,535,287,-13504
2.826721,457,332,-13190
2.842346,569,230,-12754
2.857971,294,51,-12753
2.873596,155,-29,-12940
2.889221,494,89,-12878
2.904846,655,264,-13003
2.920471,510,374,-13542
2.936096,615,473,-13772
2.951721,930,430,-13494
2.967346,874,187,-13292
2.982971,557,14,-13169
2.998596,516,0,-12819
3.014221,542,42,-12638
3.029846,285,142,-12903
3.045471,196,283,-13165
3.061096,494,408,-13206
3.076721,646,421,-13319
3.092346,548,289,-13490
3.107971,646,160,-13369
3.123596,915,105,-13138
3.139221,844,94,-13147
3.154846,524,139,-13201
3.170471,519,216,-13079
3.186096,592,278,-12981
3.201721,314,289,-13092
3.217346,183,260,-13133
3.232971,467,233,-13015
3.248596,619,199,-13085
3.264221,551,166,-13292
3.279846,678,196,-13365
3.295471,894,257,-13324
3.311096,782,230,-13304
3.326721,519,176,-13254
3.342346,508,169,-13045
3.357971,528,174,-12887
3.373596,339,173,-12972
3.389221,285,194,-13074
3.404846,508,249,-13101
3.420471,651,276,-13224
3.436096,607,251,-13394
3.451721,639,235,-13386
3.467346,782,192,-13235
3.482971,732,130,-13154
3.498596,530,132,-13149
3.514221,499,164,-13078
3.529846,528,207,-13006
3.545471,423,246,-13083
3.561096,362,257,-13174
3.576721,482,249,-13126
3.592346,601,207,-13138
3.607971,601,151,-13276
3.623596,664,124,-13294
3.639221,792,158,-13217
3.654846,732,223,-13228
3.670471,532,269,-13220
