,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,0.054,2.565,-0.479,9.097,,,,,,
deltaT (ms),,0.074,2.512,-0.665,9.082,,omega,,,,
0.020,,0.095,2.503,-0.632,9.106,,7.479982509,,,,
,,0.115,2.488,-0.641,9.106,, ,,,,
sampleRate (Hz),,0.135,2.417,-0.574,9.082,,a_avg,,,,
50.0,,0.156,2.426,-0.388,9.207,,2.8,,,,
,,0.176,2.417,-0.641,9.235,,,,,,
firstDataColumn,,0.196,2.373,-0.746,9.073,,r (m),,,,
4,,0.217,2.436,-0.584,9.010,,0.050044559,,,,
,,0.237,2.330,-0.727,9.116,,,,,,
firstDataRow,,0.258,2.211,-0.847,9.336,, ,,,,
7,,0.278,2.283,-0.828,9.245,,,,,,
,,0.298,2.306,-0.847,9.106,,,,,,
,,0.319,2.254,-0.746,9.216,,,,,,
,,0.339,2.196,-0.608,9.207,,,,,,
,,0.359,2.211,-0.627,9.140,,,,,,
,,0.380,2.239,-0.651,9.159,,,,,,
,,0.400,2.153,-0.565,9.207,,,,,,
,,0.421,2.086,-0.479,9.226,,,,,,
,,0.441,2.120,-0.469,9.082,,,,,,
,,0.461,2.177,-0.464,9.073,,,,,,
,,0.482,2.091,-0.426,9.216,,,,,,
,,0.502,2.058,-0.378,9.183,,,,,,
,,0.522,2.163,-0.368,9.168,,,,,,
,,0.543,2.129,-0.412,9.207,,,,,,
,,0.563,2.163,-0.368,9.116,,,,,,
,,0.584,2.230,-0.258,9.087,,,,,,
,,0.604,2.177,-0.215,9.216,,,,,,
,,0.624,2.263,-0.258,9.183,,,,,,
,,0.645,2.350,-0.225,9.125,,,,,,
,,0.665,2.326,-0.153,9.116,,,,,,
,,0.685,2.393,-0.206,9.087,,,,,,
,,0.706,2.488,-0.258,9.149,,,,,,
,,0.726,2.436,-0.196,9.168,,,,,,
,,0.747,2.383,-0.249,9.125,,,,,,
,,0.767,2.555,-0.388,9.159,,,,,,
,,0.787,2.699,-0.325,9.173,,,,,,
,,0.808,2.718,-0.206,9.202,,,,,,
,,0.828,2.775,-0.249,9.140,,,,,,
