time,x,y,z
0.055,0.01,0.09,0.96
0.125,0.01,0.09,0.96
0.197,0.01,0.09,0.96
0.273,0.01,0.09,0.96
0.335,0.01,0.09,0.96
0.405,0.01,0.09,0.96
0.475,-0.01,0.09,0.97
0.546,0.03,0.10,0.97
0.615,-0.02,0.10,0.95
0.685,-0.01,0.11,0.97
0.755,0.01,0.15,0.93
0.825,0.02,0.16,0.94
0.895,0.02,0.21,0.97
0.966,-0.03,0.22,0.97
1.035,-0.06,0.26,0.98
1.105,-0.06,0.26,0.92
1.175,-0.04,0.29,0.91
1.245,-0.01,0.33,0.84
1.315,-0.04,0.33,0.86
1.385,-0.00,0.31,0.75
1.455,-0.19,0.46,0.76
1.525,-0.09,0.46,0.76
1.595,-0.11,0.47,0.65
1.671,-0.02,0.49,0.45
1.741,-0.08,0.60,0.61
1.810,-0.10,0.65,0.69
1.881,-0.16,0.89,0.57
1.950,-0.10,0.87,0.23
2.020,-0.15,0.78,0.58
2.109,-0.48,1.04,0.25
2.165,-0.42,0.89,0.12
2.235,-0.52,0.84,0.51
2.306,-0.41,0.77,0.20
2.385,-0.40,0.81,0.24
2.445,-0.40,0.83,0.30
2.515,-0.13,0.79,0.46
2.586,-0.15,0.79,0.18
2.655,-0.15,0.93,0.13
2.725,-0.06,0.88,0.01
2.795,0.04,0.75,0.04
2.871,0.08,0.97,-0.01
2.940,0.05,1.00,-0.01
3.010,0.08,0.92,-0.01
3.083,0.04,0.93,-0.03
3.151,0.07,0.90,-0.01
3.220,0.05,0.92,-0.03
3.291,0.06,0.91,0.02
3.366,0.03,0.91,-0.02
3.435,0.03,0.92,-0.02
3.505,0.04,0.91,-0.02
3.582,0.04,0.91,-0.02
3.645,0.04,0.91,-0.02
3.715,0.04,0.91,-0.02
3.787,0.04,0.91,-0.02
3.855,0.04,0.91,-0.02
3.925,0.04,0.91,-0.02
3.995,0.04,0.91,-0.02
4.066,0.04,0.91,-0.02
4.135,0.02,0.89,-0.01
4.206,0.06,0.75,-0.00
4.281,-0.13,1.03,0.03
4.351,-0.36,0.75,-0.07
4.420,-0.76,0.78,-0.04
4.490,-0.74,0.62,0.09
4.560,-0.84,0.17,-0.06
4.635,-1.14,-0.11,0.17
4.705,-1.01,-0.09,0.02
4.775,-0.82,-0.45,0.04
4.845,-0.74,-0.64,0.02
4.915,-0.68,-0.72,0.05
4.988,-0.64,-0.81,0.07
5.060,-0.46,-1.08,-0.04
5.130,-0.33,-0.81,0.01
5.200,-0.33,-0.94,0.00
5.271,-0.28,-1.09,-0.02
5.340,-0.24,-1.06,-0.02
5.410,-0.11,-1.05,-0.02
5.485,0.05,-1.17,-0.03
5.550,-0.07,-1.12,-0.03
5.620,-0.04,-1.05,-0.03
5.692,-0.06,-1.05,-0.03
5.760,-0.11,-0.94,-0.03
5.830,-0.09,-1.08,-0.03
5.901,-0.10,-1.04,-0.03
5.970,-0.09,-1.04,-0.03
6.040,-0.06,-1.04,-0.03
6.111,-0.07,-1.04,-0.03
6.190,-0.03,-1.05,-0.03
6.250,-0.07,-1.04,-0.03
6.320,-0.03,-1.05,-0.03
6.391,-0.05,-1.04,-0.03
6.460,-0.02,-1.05,-0.03
6.530,-0.03,-1.05,-0.03
6.601,-0.03,-1.05,-0.03
6.671,-0.03,-1.05,-0.03
6.741,-0.03,-1.05,-0.03
