time,x,y,z
0.009,-0.01,0.01,1.00
0.010,-0.01,0.01,1.00
0.010,-0.01,0.01,1.00
0.011,-0.01,0.01,1.00
0.011,-0.01,0.01,1.00
0.011,-0.01,0.01,1.00
0.014,-0.01,0.01,1.00
0.015,-0.01,0.01,1.00
0.016,-0.01,0.01,1.00
0.017,-0.01,0.01,1.00
0.020,-0.01,0.01,1.00
0.021,-0.01,0.01,1.00
0.023,-0.01,0.01,1.00
0.025,-0.01,0.00,1.00
0.043,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.059,-0.00,0.00,1.00
0.059,-0.00,0.00,1.00
0.059,-0.00,0.00,1.00
0.059,-0.00,0.00,1.00
0.062,-0.00,0.00,1.00
0.065,-0.00,0.00,1.00
0.065,-0.00,0.00,1.00
0.067,-0.00,0.00,1.00
0.071,-0.00,0.00,1.00
0.072,-0.00,0.00,1.00
0.074,-0.00,0.00,1.00
0.076,-0.00,0.00,1.00
0.083,-0.00,0.00,1.00
0.084,-0.00,0.00,1.00
0.085,-0.00,0.00,1.00
0.085,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.092,-0.00,0.00,1.00
0.092,-0.00,0.00,1.00
0.094,-0.00,0.00,1.00
0.097,-0.00,0.00,1.00
0.099,-0.00,0.00,1.00
0.099,-0.00,0.00,1.00
0.101,-0.00,0.00,1.00
0.104,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.107,-0.01,-0.00,1.00
0.109,-0.01,-0.00,1.00
0.113,-0.01,-0.00,1.00
0.117,-0.01,-0.00,1.00
0.117,-0.01,-0.00,1.00
0.118,-0.01,-0.00,1.00
0.120,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.126,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
