Auto,Run #15
Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0.524
1.05,2.036
1.1,3.432
1.15,2.967
1.2,0.814
1.25,-1.047
1.3,-1.338
1.35,-0.698
1.4,0
1.45,0.465
1.5,0.524
1.55,0.175
1.6,-0.233
1.65,-0.291
1.7,-0.058
1.75,0.175
1.8,0.175
1.85,0
1.9,-0.116
1.95,-0.116
2,0
2.05,0.116
2.1,0.116
2.15,0
2.2,-0.116
2.25,-0.116
2.3,0
2.35,0.116
2.4,0.116
2.45,0
2.5,-0.116
2.55,-0.116
2.6,0
2.65,0.116
2.7,0.116
2.75,0
2.8,-0.116
2.85,-0.116
2.9,0
2.95,0.116
3,0.058
3.05,-0.058
3.1,-0.116
3.15,0
3.2,0.116
3.25,0.116
3.3,0
3.35,-0.116
3.4,-0.116
3.45,0
3.5,0.116
3.55,0.116
3.6,0
3.65,-0.116
3.7,-0.058
3.75,0.058
3.8,0.116
3.85,0
3.9,-0.116
3.95,-0.116
4,0
4.05,0.116
4.1,0.116
4.15,0
4.2,-0.116
4.25,-0.116
4.3,0
4.35,0.116
4.4,0.116
4.45,0
4.5,-0.116
4.55,-0.058
4.6,0.058
4.65,0.116
4.7,0.058
4.75,0.058
4.8,0.116
4.85,0.175
4.9,0.233
4.95,0.291
5,0.465
5.05,0.64
5.1,0.814
5.15,0.931
5.2,0.989
5.25,1.047
5.3,1.047
5.35,1.105
5.4,1.222
5.45,1.338
5.5,1.396
5.55,1.454
5.6,1.513
5.65,1.571
5.7,1.629
5.75,1.629
5.8,1.629
5.85,1.571
5.9,1.571
5.95,1.629
6,1.687
6.05,1.745
6.1,1.804
6.15,1.862
6.2,1.862
6.25,1.862
6.3,1.92
6.35,1.978
6.4,1.978
6.45,1.92
6.5,1.92
6.55,1.92
6.6,1.92
6.65,1.92
6.7,1.92
6.75,1.92
6.8,1.92
6.85,1.978
6.9,1.978
6.95,1.978
7,1.92
7.05,1.862
7.1,1.804
7.15,1.745
7.2,1.745
7.25,1.745
7.3,1.745
7.35,1.745
7.4,1.745
7.45,1.687
7.5,1.629
7.55,1.629
7.6,1.687
7.65,1.687
7.7,1.629
7.75,1.571
7.8,1.513
7.85,1.454
7.9,1.454
7.95,1.513
8,1.513
8.05,1.454
8.1,1.396
8.15,1.396
8.2,1.454
8.25,1.513
8.3,1.513
8.35,1.513
8.4,1.513
8.45,1.513
8.5,1.454
8.55,1.396
8.6,1.396
8.65,1.396
8.7,1.396
8.75,1.396
8.8,1.454
8.85,1.513
8.9,1.513
8.95,1.454
9,1.454
9.05,1.513
9.1,1.571
9.15,1.629
9.2,1.687
9.25,1.745
9.3,1.745
9.35,1.687
9.4,1.629
9.45,1.629
9.5,1.687
9.55,1.745
9.6,1.745
9.65,1.745
9.7,1.745
9.75,1.804
9.8,1.862
9.85,1.92
9.9,1.978
9.95,1.978
10,1.978
10.05,1.978
10.1,2.036
10.15,2.036
10.2,1.978
10.25,1.92
10.3,1.92
10.35,1.92
10.4,1.92
10.45,1.978
10.5,1.978
10.55,1.978
10.6,1.92
10.65,1.862
10.7,1.862
10.75,1.862
10.8,1.92
10.85,1.978
10.9,2.094
10.95,2.269
11,2.385
11.05,2.443
11.1,2.502
11.15,2.618
11.2,2.734
11.25,2.851
11.3,3.025
11.35,3.258
11.4,3.432
11.45,3.549
11.5,3.665
11.55,3.84
11.6,4.014
11.65,4.131
11.7,4.247
